ID	Old assigned taxonomy	New assigned taxonomy	Type of change
50831	k__Bacteria|p__Proteobacteria|c__CFGB14217|o__OFGB14217|f__FGB14217|g__GGB38860|s__GGB38860_SGB50831|t__SGB50831	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillaceae_unclassified|s__Rhodospirillaceae_bacterium|t__SGB50831	From uSGB to kSGB
51806	k__Bacteria|p__Proteobacteria|c__CFGB12593|o__OFGB12593|f__FGB12593|g__GGB35635|s__GGB35635_SGB51806|t__SGB51806	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB51806	From uSGB to kSGB
53522	k__Bacteria|p__Firmicutes|c__CFGB11401|o__OFGB11401|f__FGB11401|g__GGB33514|s__GGB33514_SGB53522|t__SGB53522	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB53522	From uSGB to kSGB
57676	k__Bacteria|p__Proteobacteria|c__CFGB12848|o__OFGB12848|f__FGB12848|g__GGB36322|s__GGB36322_SGB57676|t__SGB57676	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillaceae_unclassified|s__Rhodospirillaceae_bacterium|t__SGB57676	From uSGB to kSGB
57844	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__GGB34031|s__GGB34031_SGB57844|t__SGB57844	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified|g__Gammaproteobacteria_unclassified|s__K189A_clade_bacterium|t__SGB57844	From uSGB to kSGB
57846	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochloraceae|g__GGB36174|s__GGB36174_SGB57846|t__SGB57846	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified|g__Gammaproteobacteria_unclassified|s__K189A_clade_bacterium|t__SGB57846	From uSGB to kSGB
57901	k__Bacteria|p__Proteobacteria|c__CFGB14559|o__OFGB14559|f__FGB14559|g__GGB40429|s__GGB40429_SGB57901|t__SGB57901	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Halieaceae|g__Halieaceae_unclassified|s__Halieaceae_bacterium|t__SGB57901	From uSGB to kSGB
57910	k__Bacteria|p__Proteobacteria|c__CFGB14866|o__OFGB14866|f__FGB14866|g__GGB40948|s__GGB40948_SGB57910|t__SGB57910	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Halieaceae|g__Halieaceae_unclassified|s__Halieaceae_bacterium|t__SGB57910	From uSGB to kSGB
58334	k__Bacteria|p__Bacteroidetes|c__CFGB11096|o__OFGB11096|f__FGB11096|g__GGB33047|s__GGB33047_SGB58334|t__SGB58334	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacteraceae_unclassified|s__Rhodobacteraceae_bacterium|t__SGB58334	From uSGB to kSGB
58338	k__Bacteria|p__Actinobacteria|c__CFGB12626|o__OFGB12626|f__FGB12626|g__GGB41299|s__GGB41299_SGB58338|t__SGB58338	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified|g__Actinobacteria_unclassified|s__Actinobacteria_bacterium|t__SGB58338	From uSGB to kSGB
58421	k__Bacteria|p__Actinobacteria|c__CFGB11808|o__OFGB11808|f__FGB11808|g__GGB34356|s__GGB34356_SGB58421|t__SGB58421	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB58421	From uSGB to kSGB
62644	k__Bacteria|p__Actinobacteria|c__CFGB41506|o__OFGB41506|f__FGB41506|g__GGB45131|s__GGB45131_SGB62644|t__SGB62644	k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae|g__Planctomycetaceae_unclassified|s__Planctomycetaceae_bacterium|t__SGB62644	From uSGB to kSGB
64832	k__Bacteria|p__Proteobacteria|c__CFGB13296|o__OFGB13296|f__FGB13296|g__GGB37008|s__GGB37008_SGB64832|t__SGB64832	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified|g__Gammaproteobacteria_unclassified|s__gamma_proteobacterium_SCGC_AAA076_P13|t__SGB64832	From uSGB to kSGB
