ID	Old assigned taxonomy	New assigned taxonomy	Type of change
35903	k__Bacteria|p__Bacteroidetes|c__CFGB7561|o__OFGB7561|f__FGB7561|g__GGB24110|s__GGB24110_SGB35903|t__SGB35903	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium|t__SGB35903	From uSGB to kSGB
36687	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__GGB24794|s__GGB24794_SGB36687|t__SGB36687	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp_AG_679_C18|t__SGB36687	From uSGB to kSGB
36773	k__Bacteria|p__Firmicutes|c__CFGB8006|o__OFGB8006|f__FGB8006|g__GGB24870|s__GGB24870_SGB36773|t__SGB36773	k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales_unclassified|g__Acidimicrobiales_unclassified|s__Acidimicrobiales_bacterium_AG_410_I20|t__SGB36773	From uSGB to kSGB
36787	k__Bacteria|p__Proteobacteria|c__CFGB8013|o__OFGB8013|f__FGB8013|g__GGB24880|s__GGB24880_SGB36787|t__SGB36787	k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales_unclassified|g__Acidimicrobiales_unclassified|s__Acidimicrobiales_bacterium_AG_414_N20|t__SGB36787	From uSGB to kSGB
38077	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__GGB26069|s__GGB26069_SGB38077|t__SGB38077	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter|s__Glutamicibacter_creatinolyticus|t__SGB38077	From uSGB to kSGB
38220	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__GGB26199|s__GGB26199_SGB38220|t__SGB38220	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified|g__Rhizobiales_unclassified|s__Rhizobiales_bacterium|t__SGB38220	From uSGB to kSGB
38460	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Alcanivoracaceae|g__GGB8023|s__GGB8023_SGB38460|t__SGB38460	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Alcanivoracaceae|g__Alcanivorax|s__Alcanivorax_gelatiniphagus|t__SGB38460	From uSGB to kSGB
38812	k__Bacteria|p__Proteobacteria|c__CFGB8870|o__OFGB8870|f__FGB8870|g__GGB26632|s__GGB26632_SGB38812|t__SGB38812	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Emcibacter|s__Emcibacter_sp_MEBiC09520|t__SGB38812	From uSGB to kSGB
39113	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__GGB26915|s__GGB26915_SGB39113|t__SGB39113	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_pakistanensis|t__SGB39113	From uSGB to kSGB
41675	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB28965|s__GGB28965_SGB41675|t__SGB41675	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_1xD21_23|t__SGB41675	From uSGB to kSGB
